month,year,3,Transect,Location,Sample.ID,DOC.ID,TP.mgL,TN.mgL,DOC.mgL,TDN.mgL,NO3 mg/L,Ammonia.mgN/L,Nitrite.mgN/L,Cl.mgL,PO4 µg/L,pH,Temp,cond.us,speccond.us,O2.mgL,o2.percent,
November,2016,11/9/16,inflow_1,inflow,1822,362,,,,,4.4,1.32,0.249,,,7.39,24,1675,1588,5.5,,70
November,2016,11/9/16,inflow_2,inflow,1823,2216,,,,,3.48,1.18,0.205,,,,,,,,,
November,2016,11/9/16,inflow_3,inflow,1824,10083,,,,,4.11,1.31,0.241,,,,,,,,,
November,2016,11/9/16,outflow_1,outflow,1825,10147,,,,,3.04,1.35,0.257,,,7.23,25.2,1569,1563,3.7,,45
November,2016,11/9/16,outflow_2,outflow,1826,10260,,,,,2.7,1.3,0.231,,,,,,,,,
November,2016,11/9/16,outflow_3,outflow,1827,390,,,,,2.68,1.27,0.226,,,,,,,,,
November,2016,11/9/16,m_1_e ,shore,1828,10252,,,,,0.823,0.766,0.169,,,7.4,24,2053,2406,0.8,,8
November,2016,11/9/16,m_4_s ,shore,1829,10179,,,,,0.69,0.358,0.105,,,7.13,15.9,1511,1827,2.6,,26
November,2016,11/9/16,m_4_n,shore,1830,10201,,,,,0.126,0.717,0.042,,,7.2,17.7,2039,2632,0.4,,4
November,2016,11/9/16,m_1_e ,water,1831,11016,,,,,3.49,1.29,0.234,,,7.32,26.5,1632,1586,3.7,,47
November,2016,11/9/16,m_4_s ,water,1832,10073,,,,,2.95,1.32,0.241,,,7.2,24.5,1541,1555,2.6,,31
November,2016,11/9/16,m_4_n,water,1833,10051,,,,,2.87,1.12,0.219,,,7.07,23.7,1529,1571,0.7,,8
September,2016,9/8/16,inflow_1,inflow,1810,10151,2.838,4.802,,,2.59,1.27,0.41,41.3,197,7.34,31.1,2408,2157,4,,54
September,2016,9/8/16,inflow_2,inflow,1811,2278,3.001,5.305,,,2.83,1.37,0.383,17.4,143,,,,,,,
September,2016,9/8/16,inflow_3,inflow,1812,2374,3.141,6.278,,,2.66,1.01,0.266,13.5,146,,,,,,,
September,2016,9/8/16,outflow_1,outflow,1813,10055,3.321,6.503,,,2.46,1.14,0.384,26.8,188,7.3,24,2302,2131,2.8,,36
September,2016,9/8/16,outflow_2,outflow,1814,10210,3.438,4.765,,,2.65,1.18,0.368,25.8,189,,,,,,,
September,2016,9/8/16,outflow_3,outflow,1815,2289,3.078,5.938,,,2.64,1.18,0.349,25.7,201,,,,,,,
September,2016,9/8/16,m_1_e ,shore,1816,5012,,,,,0.284,2.05,0.134,32.9,254,7.38,23.9,2765,2827,0.4,,5
September,2016,9/8/16,m_4_s ,shore,1817,10175,,,,,0.063,0.551,0.0288,30.7,65.9,7.06,24,2345,2383,1.5,,16
September,2016,9/8/16,m_4_n,shore,1818,10058,,,,,0.12,1.09,0.0508,34.8,141,7.61,23.7,2662,2733,1.2,,13
September,2016,9/8/16,m_1_e ,water,1819,2363,,,,,2.3,1.22,0.37,29.5,229,7.16,29.6,2390,2214,0.5,,6
September,2016,9/8/16,m_4_s ,water,1820,38,,,,,2.64,1.14,0.315,24.9,224,7.3,28.8,2284,2133,1.9,,24
September,2016,9/8/16,m_4_n,water,1821,10116,,,,,1.86,0.742,0.188,32.2,245,6.99,27.5,2365,2257,0.3,,3
July,2016,7/14/16,inflow_1,inflow,1798,11014,,,10.8,5.71,5.02,0.822,0.286,39,241,7.39,31.1,2527,2262,5.8,,78
July,2016,7/14/16,inflow_2,inflow,1799,9749,,,9.007,5.637,3.83,0.789,0.25,42.8,227,,,,,,,
July,2016,7/14/16,inflow_3,inflow,1800,10039,,,7.962,5.899,4.74,0.807,0.286,45.7,211,,,,,,,
July,2016,7/14/16,outflow_1,outflow,1801,2109,,,10.2,3.436,2.39,0.398,0.239,42.1,226,7.5,30.6,2462,2224,6.3,,87
