date,transect,location,sample_id,doc_id,tp_mgL,tn_mgL,doc_mgL,tdn_mgL,no3_mgL,no2_mgL,nh4_mgL,cl_mgL,po4_ugL,ph,temperature_c,conductance_us,spec_cond_us,o2_mgL,o2_percent,,,,,,,,,,,,,
7/28/11,inflow_1,inflow,1009,NA,NA,NA,NA,NA,2.13,0.208,1.21,329,1.7,7.37,30.7,1768,1960,5.42,NA,,,,,,,,,,,,,
7/28/11,inflow_2,inflow,1010,NA,NA,NA,NA,NA,1.99,0.198,1.5,331,2.01,7.37,30.7,1768,1960,5.42,NA,,,,,,,,,,,,,
7/28/11,inflow_3,inflow,1011,NA,NA,NA,NA,NA,1.56,0.203,1.46,345,1.87,7.37,30.7,1768,1960,5.42,NA,,,,,,,,,,,,,
7/28/11,outflow_1,outflow,1024,NA,NA,NA,NA,NA,1.15,0.149,0.331,341,1.35,8.08,30.6,1746,1932,8.52,121.2,,,,,,,,,,,,,
7/28/11,outflow_2,outflow,1025,NA,NA,NA,NA,NA,0.922,0.123,0.288,331,1.8,8.08,30.6,1746,1932,8.52,121.2,,,,,,,,,,,,,
7/28/11,outflow_3,outflow,1026,NA,NA,NA,NA,NA,1.04,0.135,0.299,342,1.96,8.08,30.6,1746,1932,8.52,121.2,,,,,,,,,,,,,
7/28/11,m_1_e,shore,1012,NA,NA,NA,NA,NA,0.0135,0.0058,0.547,332,2.54,6.98,24.6,2092,2088,0.48,4.9,,,,,,,,,,,,,
7/28/11,m_4_n,shore,1032,NA,NA,NA,NA,NA,0.0115,0.0041,0.0663,376,2.38,6.68,24.6,1782,1767,0.1,1.5,,,,,,,,,,,,,
7/28/11,m_4_s,shore,1027,NA,NA,NA,NA,NA,1.33,0.173,0.293,339,1.59,6.91,26.3,1766,1805,0.15,1.9,,,,,,,,,,,,,
7/28/11,m_1_e,water,1013,NA,NA,NA,NA,NA,1.85,0.335,1.06,333,2.2,7.38,29.7,1758,1922,1.55,21,,,,,,,,,,,,,
7/28/11,m_4_n,water,1033,NA,NA,NA,NA,NA,1.18,0.15,0.198,343,2.02,7.8,31.5,1766,1983,1.39,87.9,,,,,,,,,,,,,
7/28/11,m_4_s,water,1028,NA,NA,NA,NA,NA,1.36,0.18,0.3,305,1.64,7.78,30.2,1752,1928,3.05,42.7,,,,,,,,,,,,,
9/27/11,inflow_1,inflow,1036,3000,NA,7.903,7.875,NA,5.42,0.363,1.31,222,0.979,7.32,30.2,1706,1877,4.7,63,,,,,,,,,,,,,
9/27/11,inflow_2,inflow,1037,2243,NA,7.955,8.604,NA,5.25,0.36,1.23,219,2.22,7.32,30.2,1706,1877,4.7,63,,,,,,,,,,,,,
9/27/11,inflow_3,inflow,1038,1052,NA,8.005,8.023,NA,5.22,0.353,1.23,223,1.56,7.32,30.2,1706,1877,4.7,63,,,,,,,,,,,,,
9/27/11,outflow_1,outflow,1043,10081,NA,4.118,8.638,NA,3.06,0.232,0.171,244,2.16,7.59,30.6,1687,1860,4.74,66.2,,,,,,,,,,,,,
9/27/11,outflow_2,outflow,1044,43,NA,4.389,29.16,NA,3.41,0.191,0.142,275,2.37,7.59,30.6,1687,1860,4.74,66.2,,,,,,,,,,,,,
9/27/11,outflow_3,outflow,1046,2256,NA,4.147,10.03,NA,3.32,0.241,0.128,224,2.08,7.59,30.6,1687,1860,4.74,66.2,,,,,,,,,,,,,
9/27/11,m_1_e,shore,1061,1047,NA,1.079,14.59,NA,0.0231,0.00399,0.0201,401,2.14,7.4,13.5,1877,2359,2.83,28.2,,,,,,,,,,,,,
9/27/11,m_4_n,shore,1048,18,NA,1.24,17.37,NA,0.0108,0.00348,0.0815,322,1.96,7.48,25.1,2006,2044,1.81,23.2,,,,,,,,,,,,,
9/27/11,m_4_s,shore,1041,2192,NA,0.8829,11.38,NA,0.0133,0.00243,0.0267,287,1.28,7.66,22.3,1857,1895,4.1,51.5,,,,,,,,,,,,,
9/27/11,m_1_e,water,1060,10242,NA,6.443,6.591,NA,4.76,0.218,0.914,203,2.31,7.37,13.3,1322,1670,3.35,32.7,,,,,,,,,,,,,
9/27/11,m_4_n,water,1047,10059,NA,4.801,8.245,NA,4.03,0.228,0.337,311,2.26,7.78,32,1694,1940,5.19,80,,,,,,,,,,,,,
9/27/11,m_4_s,water,1042,2283,NA,5.005,8.662,NA,4.19,0.279,0.506,248,1.23,7.63,26.7,1681,1777,4.48,56.7,,,,,,,,,,,,,
11/27/11,inflow_1,inflow,1083,442,NA,8.297,5.999,NA,5.09,0.407,1.81,223,2.73,7.29,14,1261,1456,4.12,46.7,,,,,,,,,,,,,
11/27/11,inflow_2,inflow,1087,10205,NA,8.222,5.826,NA,5.32,0.444,1.82,222,2.96,7.4,14.1,1299,1475,4.17,47.8,,,,,,,,,,,,,
11/27/11,inflow_3,inflow,1088,26,NA,8.203,5.852,NA,4.97,0.4,1.76,248,3.55,7.32,15,1291,1469,3.69,42.2,,,,,,,,,,,,,
11/27/11,outflow_1,outflow,1084,10247,NA,5.208,5.34,NA,3.37,0.237,1.06,222,2.1,7.4,18.1,1385,1545,3.73,41.4,,,,,,,,,,,,,
11/27/11,outflow_2,outflow,1085,2027,NA,5.098,5.46,NA,3.06,0.215,1.01,222,2.04,7.54,18.4,1374,1519,4.2,47.8,,,,,,,,,,,,,
11/27/11,outflow_3,outflow,1086,21,NA,4.917,5.203,NA,3.27,0.236,1.03,222,2.16,7.54,17.6,1331,1520,3.95,46.1,,,,,,,,,,,,,
11/27/11,m_1_e,shore,1069,34,NA,1.599,11.83,NA,0.0143,0.00931,0.673,537,3.02,7.12,16.4,958,1134,1.34,12.2,,,,,,,,,,,,,
11/27/11,m_4_s,shore,1071,2109,NA,0.5549,5.761,NA,0.0192,0.00385,0.0137,382,3.2,7.06,14.7,1429,1777,4.48,44.9,,,,,,,,,,,,,
11/27/11,m_4_n,shore,1072,10049,NA,0.7593,9.503,NA,0.00602,0.00415,0.0354,490,2.63,7.03,12.8,1781,2329,1.16,11,,,,,,,,,,,,,
11/27/11,m_4_n,water,1063,2028,NA,5.694,17.3,NA, ,0.225, ,254,2.8,7.42,11.3,1135,1529,3.69,34.1,,,,,,,,,,,,,
11/27/11,m_1_e,water,1067,2226,NA,6.904,6.097,NA,3.68,0.273,1.37,311,3.49,7.33,19.5,1373,1520,2.75,30.1,,,,,,,,,,,,,
11/27/11,m_4_s,water,1070,10172,NA,5.203,5.892,NA,3.49,0.213,1.17,312,2.82,7.43,15.9,1278,1538,3.34,34.1,,,,,,,,,,,,,
1/25/12,inflow_1,inflow,1086,2157,NA,5.614,6.337,NA,2.47,0.218,1.36,1120,15.5,7.56,20.3,1357,1501,4.48,49.9,,,,,,,,,,,,,
1/25/12,inflow_2,inflow,1088,447,NA,5.027,6.105,NA,2.89,0.256,1.53,947,14.6,7.56,20.3,1357,1501,4.48,49.9,,,,,,,,,,,,,
1/25/12,inflow_3,inflow,1090,10206,NA,5.198,6.087,NA,3.03,0.263,1.63,1250,14.6,7.56,20.3,1357,1501,4.48,49.9,,,,,,,,,,,,,
1/25/12,outflow_1,outflow,1087,10114,NA,7.656,5.93,NA,5.28,0.24,0.834,1050,17.6,8.03,14.3,1200,1505,6.31,56.8,,,,,,,,,,,,,
1/25/12,outflow_2,outflow,1089,68,NA,7.437,6.305,NA,6.14,0.288,0.97,977,18.1,8.03,14.3,1200,1505,6.31,56.8,,,,,,,,,,,,,
1/25/12,outflow_3,outflow,1091,322,NA,8.295,5.943,NA,5.52,0.253,0.914,1110,18.8,8.03,14.3,1200,1505,6.31,56.8,,,,,,,,,,,,,
1/25/12,m_1_e,shore,1093,33,NA,1.632,11.92,NA,0.0865,0.0189,0.49,1520,10.6,6.97,6.2,1455,2252,1.76,15.3,,,,,,,,,,,,,
1/25/12,m_4_n,shore,1101,345,NA,0.8525,10.58,NA,0.00961,0.00492,0.0507,4720,35.2,7.12,7.6,1465,2175,3.51,32.7,,,,,,,,,,,,,
1/25/12,m_4_s,shore,1107,63,NA,0.7597,6.583,NA,0.048,0.00532,0.0763,2490,35.2,7.21,7.5,1063,1601,1.77,14.8,,,,,,,,,,,,,
