Sample ID,Sample Details,Test,Results,Units,Absorbance,Date and Time,Operator,Pre Dil Factor,Auto Dil Factor
STANDARD 1,,Nitrate+Nitrite 2,0.006,mg N/L,0.006127,Tue Feb 09 09:44:20 2016,mdm,1,1
STANDARD 90,,Nitrate+Nitrite 2,0.009,mg N/L,0.008939,Tue Feb 09 09:46:25 2016,mdm,1,1
STANDARD 91,,Nitrate+Nitrite 2,0.01,mg N/L,0.010191,Tue Feb 09 09:48:30 2016,mdm,1,1
STANDARD 92,,Nitrate+Nitrite 2,0.012,mg N/L,0.012055,Tue Feb 09 09:50:35 2016,mdm,1,1
STANDARD 93,,Nitrate+Nitrite 2,0.022,mg N/L,0.022127,Tue Feb 09 09:52:40 2016,mdm,1,1
STANDARD 94,,Nitrate+Nitrite 2,0.07,mg N/L,0.07035,Tue Feb 09 09:54:43 2016,mdm,1,1
STANDARD 95,,Nitrate+Nitrite 2,0.24,mg N/L,0.239732,Tue Feb 09 09:56:48 2016,mdm,1,1
STANDARD 96,,Nitrate+Nitrite 2,0.643,mg N/L,0.642735,Tue Feb 09 09:58:53 2016,mdm,1,1
STANDARD 0,,Nitrate+Nitrite 2,0.006,mg N/L,0.006367,Tue Feb 09 10:00:58 2016,mdm,1,1
C C V,,Nitrate+Nitrite 2,0.1,mg N/L,0.038647,Tue Feb 09 10:03:03 2016,mdm,1,1
C C B ,,Nitrate+Nitrite 2,0,mg N/L,0.005827,Tue Feb 09 10:05:09 2016,mdm,1,1
CentralSouth_1_21,,Nitrate+Nitrite 2,1.868,mg N/L,0.147974,Tue Feb 09 10:07:15 2016,mdm,2,2
CentralSouth_1_22,,Nitrate+Nitrite 2,1.656,mg N/L,0.13297,Tue Feb 09 10:09:20 2016,mdm,2,2
CentralSouth_1_23,,Nitrate+Nitrite 2,2.391,mg N/L,0.184401,Tue Feb 09 10:11:25 2016,mdm,2,2
CentralSouth_1_24,,Nitrate+Nitrite 2,1.661,mg N/L,0.133326,Tue Feb 09 10:13:30 2016,mdm,2,2
CentralSouth_1_blk,,Nitrate+Nitrite 2,0.218,mg N/L,0.041632,Tue Feb 09 10:15:35 2016,mdm,2,1
Price_1_1,,Nitrate+Nitrite 2,2.892,mg N/L,0.218719,Tue Feb 09 10:17:41 2016,mdm,2,2
Price_1_2,,Nitrate+Nitrite 2,2.883,mg N/L,0.218105,Tue Feb 09 10:19:46 2016,mdm,2,2
Price_1_3,,Nitrate+Nitrite 2,3.432,mg N/L,0.255604,Tue Feb 09 10:21:51 2016,mdm,2,2
Price_1_4,,Nitrate+Nitrite 2,2.613,mg N/L,0.199653,Tue Feb 09 10:23:57 2016,mdm,2,2
Price_1_5,,Nitrate+Nitrite 2,3.627,mg N/L,0.268912,Tue Feb 09 10:26:02 2016,mdm,2,2
